%vehicle;startx;starty;starttime;endx;endy;endtime;box;operation
Vehicle0;320;100;11075;0;100;11400;B84;PL
Vehicle0;0;100;11400;330;100;11735;B91;PU
Vehicle0;330;100;11735;0;100;12070;B91;PL
Vehicle0;0;100;12070;330;100;12405;B89;PU
Vehicle0;330;100;12405;330;100;12410;B90;PU
Vehicle0;330;100;12410;320;100;12425;B89;PL
Vehicle0;320;100;12425;320;100;12430;B90;PL
Vehicle0;320;100;12430;330;100;12445;B88;PU
Vehicle0;330;100;12445;10;100;12770;B88;PL
Vehicle0;10;100;12770;350;100;13115;B99;PU
Vehicle0;350;100;13115;10;100;13460;B99;PL
Vehicle0;10;100;13460;360;100;13815;B102;PU
Vehicle0;360;100;13815;360;100;13820;B103;PU
Vehicle0;360;100;13820;330;100;13855;B103;PL
Vehicle0;330;100;13855;330;100;13860;B102;PL
Vehicle0;330;100;13860;360;100;13895;B100;PU
Vehicle0;360;100;13895;360;100;13900;B101;PU
Vehicle0;360;100;13900;360;100;13905;B101;PL
Vehicle0;360;100;13905;0;100;14270;B100;PL
Vehicle0;0;100;14270;370;100;14645;B106;PU
Vehicle0;370;100;14645;370;100;14650;B107;PU
Vehicle0;370;100;14650;370;100;14655;B107;PL
Vehicle0;370;100;14655;0;100;15030;B106;PL
Vehicle0;0;100;15030;380;100;15415;B110;PU
Vehicle0;380;100;15415;380;100;15420;B111;PU
Vehicle0;380;100;15420;290;100;15515;B110;PL
Vehicle0;290;100;15515;290;100;15520;B111;PL
Vehicle0;290;100;15520;380;100;15615;B108;PU
Vehicle0;380;100;15615;380;100;15620;B109;PU
Vehicle0;380;100;15620;380;100;15625;B109;PL
Vehicle0;380;100;15625;10;100;16000;B108;PL
Vehicle0;10;100;16000;420;100;16415;B126;PU
Vehicle0;420;100;16415;420;100;16420;B127;PU
Vehicle0;420;100;16420;360;100;16485;B127;PL
Vehicle0;360;100;16485;360;100;16490;B126;PL
Vehicle0;360;100;16490;420;100;16555;B124;PU
Vehicle0;420;100;16555;420;100;16560;B125;PU
Vehicle0;420;100;16560;420;100;16565;B125;PL
Vehicle0;420;100;16565;10;100;16980;B124;PL
Vehicle0;10;100;16980;450;100;17425;B139;PU
Vehicle0;450;100;17425;0;100;17880;B139;PL
Vehicle0;0;100;17880;450;100;18335;B138;PU
Vehicle0;450;100;18335;0;100;18790;B138;PL
Vehicle0;0;100;18790;480;100;19275;B150;PU
Vehicle0;480;100;19275;480;100;19280;B151;PU
Vehicle0;480;100;19280;380;100;19385;B150;PL
Vehicle0;380;100;19385;380;100;19390;B151;PL
Vehicle0;380;100;19390;480;100;19495;B148;PU
Vehicle0;480;100;19495;480;100;19500;B149;PU
Vehicle0;480;100;19500;480;100;19505;B149;PL
Vehicle0;480;100;19505;10;100;19980;B148;PL
Vehicle0;10;100;19980;520;100;20495;B166;PU
Vehicle0;520;100;20495;520;100;20500;B167;PU
